player_name,club,position,age,nationality,market_value_eur,contract_months_remaining,fb_player_name,fb_club,minutes_played,goals,assists,goals_per_90,assists_per_90,match_score,mins,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,position_group,is_striker,is_winger,is_attacking_mid,is_central_mid,is_cdm,is_fullback,is_goalkeeper,nationality_group,is_brazilian,is_french,is_english,is_spanish,is_german,is_argentinian,is_portuguese,is_african,is_asian,is_south_american_other
Mikel Merino,Arsenal FC,Central Midfield,29,Spain,30000000.0,27,Mikel Merino,Arsenal FC,1007.0,4.0,3.0,0.3575,0.2681,100.0,1001.0,1.0,1.0,75.8,1.3,6.77,1.2,0.5,1.0,0.9,0.3,0.1,0.6,0.2,1.0,16.9,0.0,0.3,0.1,4.15,-0.15,0.2,central_mid,0,0,0,1,0,0,0,spanish,0,0,0,1,0,0,0,0,0,0
Martin Ødegaard,Arsenal FC,Attacking Midfield,27,Norway,65000000.0,27,Martin Ødegaard,Arsenal FC,1076.0,1.0,5.0,0.0836,0.4182,100.0,1078.0,0.0,1.0,85.1,0.1,6.72,0.9,0.4,0.4,0.3,0.5,0.0,1.5,0.5,0.4,31.6,0.3,1.6,0.3,1.09,-0.09,0.05,attacking_mid,0,0,1,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Eberechi Eze,Arsenal FC,Attacking Midfield,27,England,60000000.0,39,Eberechi Eze,Arsenal FC,1502.0,6.0,2.0,0.3595,0.1198,100.0,1422.0,1.0,1.7,84.5,0.3,6.81,0.6,0.3,0.6,0.4,0.2,0.0,0.5,0.8,1.2,19.9,0.1,0.5,0.2,3.62,2.38,0.08,attacking_mid,0,0,1,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Gabriel Martinelli,Arsenal FC,Left Winger,24,Brazil,45000000.0,15,Gabriel Martinelli,Arsenal FC,854.0,1.0,3.0,0.1054,0.3162,100.0,848.0,2.0,1.0,68.8,0.3,6.4,0.4,0.0,0.3,0.4,0.2,0.0,0.4,0.7,0.5,8.1,0.3,0.0,0.0,3.95,-2.95,0.16,winger,0,1,0,0,0,0,0,brazilian,1,0,0,0,0,0,0,0,0,0
Leandro Trossard,Arsenal FC,Left Winger,31,Belgium,20000000.0,15,Leandro Trossard,Arsenal FC,1677.0,5.0,5.0,0.2683,0.2683,100.0,1688.0,1.0,1.7,76.0,0.2,6.83,1.0,0.3,0.5,0.5,0.6,0.1,1.2,0.7,1.2,24.5,0.5,1.1,0.2,5.12,-0.12,0.12,winger,0,1,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,Arsenal FC,Right Winger,24,England,120000000.0,51,Bukayo Saka,Arsenal FC,1998.0,6.0,3.0,0.2703,0.1351,100.0,2002.0,1.0,2.3,76.7,0.8,7.26,1.3,0.5,1.0,0.4,0.6,0.0,1.9,1.8,1.9,25.3,1.3,0.5,0.1,8.09,-2.09,0.13,winger,0,1,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Noni Madueke,Arsenal FC,Right Winger,24,England,50000000.0,51,Noni Madueke,Arsenal FC,895.0,2.0,1.0,0.2011,0.1006,100.0,902.0,0.0,1.0,74.6,0.5,6.64,0.8,0.2,0.6,0.3,0.8,0.1,0.9,1.2,0.5,15.2,0.7,0.4,0.0,1.69,0.31,0.08,winger,0,1,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Max Dowman,Arsenal FC,Right Winger,16,England,20000000.0,27,Max Dowman,Arsenal FC,46.0,1.0,0.0,1.9565,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winger,0,1,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Viktor Gyökeres,Arsenal FC,Centre-Forward,27,Sweden,65000000.0,51,Viktor Gyökeres,Arsenal FC,1892.0,11.0,0.0,0.5233,0.0,100.0,1903.0,4.0,1.5,59.7,0.9,6.67,0.2,0.0,1.0,0.6,0.2,0.1,0.6,0.2,0.8,9.2,0.1,0.0,0.0,10.43,0.57,0.24,striker,1,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Kai Havertz,Arsenal FC,Centre-Forward,26,Germany,50000000.0,27,Kai Havertz,Arsenal FC,264.0,0.0,1.0,0.0,0.3409,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,striker,1,0,0,0,0,0,0,german,0,0,0,0,1,0,0,0,0,0
