player_name,club,age,position,position_group_ws,apps,minutes_played,goals,assists,goals_per_90,assists_per_90,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,nationality,position_tm,contract_months_remaining,market_value_eur,position_group,is_striker,is_winger,is_attacking_mid,is_central_mid,is_cdm,is_fullback,is_goalkeeper,nationality_group,is_brazilian,is_french,is_english,is_spanish,is_german,is_argentinian,is_portuguese,is_african,is_asian,is_south_american_other
Manuel Ugarte,Man Utd,24,DMC,cdm,29.0,1790.0,1.0,2.0,0.0503,0.1006,11.0,0.7,88.6,0.6,6.57,2.7,0.9,1.4,0.5,1.3,0.1,0.3,0.6,1.1,30.9,0.1,1.3,0.0,0.98,0.02,0.05,Uruguay,Defensive Midfield,18,45000000.0,cdm,0,0,0,0,1,0,0,south_american_other,0,0,0,0,0,0,0,0,0,1
Emerson,West Ham,31,M(L),winger,31.0,2128.0,2.0,1.0,0.0846,0.0423,5.0,0.5,82.4,0.6,6.56,1.9,0.7,0.8,1.8,0.7,0.3,0.5,0.3,0.4,28.0,0.6,0.9,0.0,2.2,-0.2,0.14,Italy,Left-Back,18,10000000.0,fullback,0,0,0,0,0,1,0,other_europe,0,0,0,0,0,0,0,0,0,0
Lucas Paquetá,West Ham,28,FW,striker,33.0,2385.0,4.0,0.0,0.1509,0.0,10.0,1.2,78.8,1.5,6.56,2.0,0.5,1.6,1.0,0.8,0.1,1.1,0.6,1.9,42.6,0.2,2.6,0.2,5.04,-1.04,0.12,Brazil,Attacking Midfield,18,28000000.0,attacking_mid,0,0,1,0,0,0,0,brazilian,1,0,0,0,0,0,0,0,0,0
Rodrigo Muniz,Fulham,24,FW,striker,31.0,952.0,8.0,1.0,0.7563,0.0945,1.0,1.3,65.7,2.2,6.56,0.3,0.2,0.4,0.5,0.0,0.1,0.2,0.2,1.0,4.5,0.0,0.3,0.0,7.18,0.82,0.18,Brazil,Centre-Forward,18,20000000.0,striker,1,0,0,0,0,0,0,brazilian,1,0,0,0,0,0,0,0,0,0
Emile Smith Rowe,Fulham,25,AM(CL),attacking_mid,34.0,2061.0,6.0,3.0,0.262,0.131,3.0,1.1,91.3,0.2,6.55,0.9,0.3,0.6,0.5,0.5,0.1,0.7,0.5,0.4,29.4,0.1,0.5,0.0,5.01,0.99,0.14,England,Attacking Midfield,18,30000000.0,attacking_mid,0,0,1,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Konstantinos Mavropanos,West Ham,28,D(CR),centre_back,33.0,2039.0,0.0,0.0,0.0,0.0,4.0,0.5,86.9,1.8,6.54,1.1,1.2,0.5,3.7,0.3,0.5,0.2,0.3,0.5,37.7,0.0,2.0,0.0,2.13,-2.13,0.12,Greece,Centre-Back,18,17000000.0,centre_back,0,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
André Onana,Man Utd,29,GK,goalkeeper,34.0,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8,0.2,6.54,0.1,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.1,34.3,0.0,4.5,0.0,0.0,0.0,0.0,Cameroon,Goalkeeper,18,25000000.0,goalkeeper,0,0,0,0,0,0,1,african,0,0,0,0,0,0,0,1,0,0
Pape Matar Sarr,Tottenham,23,M(C),central_mid,36.0,1917.0,3.0,2.0,0.1408,0.0939,6.0,0.9,87.6,0.9,6.53,1.4,0.8,0.9,0.7,0.4,0.3,0.4,0.3,1.0,27.8,0.1,0.4,0.0,3.58,-0.58,0.11,Senegal,Central Midfield,18,32000000.0,central_mid,0,0,0,1,0,0,0,african,0,0,0,0,0,0,0,1,0,0
John McGinn,Aston Villa,31,M(CLR),central_mid,34.0,2232.0,1.0,4.0,0.0403,0.1613,7.0,0.9,86.6,0.5,6.53,1.0,0.4,1.3,0.4,0.5,0.1,0.9,0.6,2.0,23.2,0.4,0.9,0.1,3.62,-2.62,0.12,Scotland,Central Midfield,18,16000000.0,central_mid,0,0,0,1,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Alphonse Areola,West Ham,33,GK,goalkeeper,26.0,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,66.1,0.1,6.53,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,6.2,0.0,0.0,0.0,0.0,France,Goalkeeper,18,9000000.0,goalkeeper,0,0,0,0,0,0,1,french,0,1,0,0,0,0,0,0,0,0
