player_name,club,age,position,position_group_ws,apps,minutes_played,goals,assists,goals_per_90,assists_per_90,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,market_value_eur,nationality,position_tm,contract_months_remaining,tm_match_score
Kieran Trippier,Newcastle,35,M(R),winger,25.0,1310.0,0.0,3.0,0.0,0.2061,1.0,0.2,85.4,0.9,6.7,1.5,0.5,0.6,1.7,0.6,0.1,0.9,0.2,0.4,41.5,1.0,1.4,0.1,0.14,-0.14,0.04,2500000.0,England,Right-Back,,100.0
Matty Cash,Aston Villa,28,M(CLR),central_mid,27.0,2077.0,1.0,1.0,0.0433,0.0433,7.0,0.5,84.6,0.7,6.7,2.1,0.9,1.0,2.1,0.4,0.3,0.4,0.7,0.7,28.3,0.2,0.9,0.0,0.51,0.49,0.04,22000000.0,Poland,Right-Back,,100.0
Matheus Nunes,Man City,27,M(CLR),central_mid,26.0,1673.0,1.0,6.0,0.0538,0.3228,4.0,0.3,88.8,0.6,6.7,1.3,0.6,1.2,1.2,0.8,0.2,0.9,0.7,0.8,41.5,0.4,1.0,0.1,1.42,-0.42,0.16,45000000.0,Portugal,Right-Back,,100.0
Kepa Arrizabalaga,Bournemouth,31,GK,goalkeeper,31.0,2790.0,0.0,0.0,0.0,0.0,3.0,0.0,70.4,0.3,6.7,0.0,0.0,0.1,1.2,0.1,0.0,0.0,0.0,0.2,29.1,0.0,5.6,0.0,0.06,-0.06,0.06,7000000.0,Spain,Goalkeeper,,100.0
Chris Richards,Crystal Palace,25,DMC,cdm,24.0,1925.0,1.0,0.0,0.0468,0.0,2.0,0.5,81.3,2.0,6.7,2.0,0.8,0.5,4.7,0.7,0.6,0.1,0.0,0.2,34.7,0.0,1.2,0.0,1.78,-0.78,0.15,25000000.0,United States,Centre-Back,,100.0
Keane Lewis-Potter,Brentford,25,FW,striker,38.0,3103.0,1.0,3.0,0.029,0.087,7.0,0.7,80.5,0.7,6.7,1.3,0.6,0.5,1.7,0.5,0.3,0.7,1.1,0.8,27.6,0.7,1.7,0.1,2.62,-1.62,0.09,25000000.0,England,Left Midfield,,100.0
James Garner,Everton,25,M(CR),central_mid,21.0,1595.0,0.0,1.0,0.0,0.0564,5.0,0.6,82.1,0.5,6.7,2.2,1.1,1.0,1.6,0.8,0.2,0.6,0.3,0.7,33.2,0.7,1.3,0.0,0.54,-0.54,0.04,35000000.0,England,Defensive Midfield,,100.0
Matthijs de Ligt,Man Utd,26,D(C),centre_back,29.0,2128.0,2.0,0.0,0.0846,0.0,3.0,0.6,90.4,2.0,6.69,1.0,1.1,0.6,3.1,0.3,0.7,0.2,0.1,0.4,47.2,0.1,1.1,0.0,2.66,-0.66,0.15,40000000.0,Netherlands,Centre-Back,,100.0
Yerson Mosquera,Wolves,24,D(C),centre_back,5.0,442.0,0.0,0.0,0.0,0.0,2.0,0.4,86.1,2.2,6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000000.0,Colombia,Centre-Back,,100.0
Sepp van den Berg,Brentford,24,M(R),winger,31.0,2589.0,0.0,0.0,0.0,0.0,3.0,0.6,85.7,3.0,6.68,1.3,0.7,0.7,4.2,0.3,1.2,0.2,0.1,0.2,39.0,0.1,1.2,0.0,2.15,-2.15,0.11,32000000.0,Netherlands,Centre-Back,,100.0
